GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMML class model evaluator code coverage,org.jpmml.evaluator,SecondsSinceDate,19,70,4,4,3,17,5,8,1,8
PMML class model evaluator code coverage,org.jpmml.evaluator,ValueAggregator,47,196,15,19,12,46,15,13,1,10
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportingValueFactoryFactory,13,26,2,1,4,8,3,4,1,4
PMML class model evaluator code coverage,org.jpmml.evaluator,ComplexFloatVector,120,0,8,0,28,0,14,0,10,0
PMML class model evaluator code coverage,org.jpmml.evaluator,JavaModelEvaluator,31,0,2,0,9,0,5,0,4,0
PMML class model evaluator code coverage,org.jpmml.evaluator,TargetReferenceField,24,15,0,0,4,6,4,2,4,2
PMML class model evaluator code coverage,org.jpmml.evaluator,RichConstant,49,0,6,0,14,0,9,0,6,0
PMML class model evaluator code coverage,org.jpmml.evaluator,ValueFactoryFactory,4,16,1,2,1,6,1,4,0,3
PMML class model evaluator code coverage,org.jpmml.evaluator,Classification.Type,22,120,2,2,3,22,4,10,2,10
PMML class model evaluator code coverage,org.jpmml.evaluator,OutputField,35,53,1,1,11,19,5,8,4,8
PMML class model evaluator code coverage,org.jpmml.evaluator,TextUtil.TextProcessor,0,39,1,1,0,11,1,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,Classification,28,181,1,5,9,50,3,25,2,23
PMML class model evaluator code coverage,org.jpmml.evaluator,MissingFieldException,6,5,0,0,2,2,1,1,1,1
PMML class model evaluator code coverage,org.jpmml.evaluator,ContinuousValue.new Object() {...},3,23,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,CategoricalValue.CategoricalString,0,9,0,0,0,3,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,IndexableUtil,40,66,6,8,11,15,7,7,2,5
PMML class model evaluator code coverage,org.jpmml.evaluator,Report.Entry,14,29,0,0,4,12,1,5,1,5
PMML class model evaluator code coverage,org.jpmml.evaluator,IntegrationTestBatch.new InvalidFeatureInspector() {...},23,0,4,0,8,0,5,0,3,0
PMML class model evaluator code coverage,org.jpmml.evaluator,ModelEvaluationContext,48,259,13,28,13,83,11,27,0,17
